,Constituency,Name,Party,Picture
80,NA-83Gujranwala-V,Chaudhry Zulfiqar Ali Bhindar,PML-N,Profile
81,NA-84Gujranwala-VI,Mr. Azhar Qayyum Nahra,PML-N,Profile
82,NA-85Mandi Bahauddin-I,Haji Imtiaz Ahmed Choudhary,PTI,Profile
83,NA-86Mandi Bahauddin-II,Mr. Nasir Iqbal Bosal,PML-N,Profile
84,NA-87Hafizabad-I,Ch Shoukat Ali Bhatti,PTI,Profile
85,NA-88Sargodha-I,Dr. Malik Mukhtar Ahmad,PML-N,Profile
86,NA-89Sargodha-II,Mr. Mohsin Nawaz Ranjha,PML-N,Profile
87,NA-90Sargodha-III,Ch. Muhammad Hamid Hameed,PML-N,Profile
88,NA-91Sargodha-IV,Ch. Aamir Sultan Cheema,PTI,Profile
89,NA-92Sargodha-V,Syed Javed Hasnain,PML-N,Profile
90,NA-93Khushab-I,Malik Umar Aslam Khan,PTI,Profile
91,NA-94Khushab-II,Malik Muhammad Ehsan Ullah Tiwana,PTI,Profile
92,NA-95Mianwali-I,Mr. Imran Khan,PTI,Profile
93,NA-96Mianwali-II,Mr. Amjad Ali Khan,PTI,Profile
94,NA-97Bhakkar-I,Mr. Muhammad Sana Ullah Khan Masti Khel,PTI,Profile
95,NA-98Bhakkar-II,Dr. Muhammad Afzal Khan Dhandla,PTI,Profile
96,NA-99Chiniot-I,Mr. Mehar Ghulam Muhammad Lali,PTI,Profile
97,NA-100Chiniot-II,Mr. Qaiser Ahmed Sheikh,PML-N,Profile
98,NA-101Faisalabad-I,Mr. Muhammad Asim Nazir,PTI,Profile
99,NA-102Faisalabad-II,Mr. Nawab Sher,PTI,Profile
100,NA-103Faisalabad-III,Mr. Ali Gohar Khan,PML-N,Profile
101,NA-104Faisalabad-IV,Ch. Muhammad Shahbaz Babar,PML-N,Profile
102,NA-105Faisalabad-V,Mr. Raza Nasrullah,PTI,Profile
103,NA-106Faisalabad-VI,Rana Sana Ullah Khan,PML-N,Profile
104,NA-107Faisalabad-VII,Mr. Khurram Shahzad,PTI,Profile
105,NA-109Faisalabad-IX,Mr. Faiz Ullah,PTI,Profile
106,NA-110Faisalabad-X,"Raja Riaz Ahmad, Leader of the Oppisition",PTI,Profile
107,NA-111Toba Tek Singh-I,Chaudhary Khalid Javed,PML-N,Profile
108,NA-112Toba Tek Singh-II,Mr. Muhammad Junaid Anwar Chaudhry,PML-N,Profile
109,NA-113Toba Tek Singh-III,Mr. Riaz Fatyana,PTI,Profile
110,NA-114Jhang-I,Sahibzada Muhammad Mehboob Sultan,PTI,Profile
111,NA-115Jhang-II,Ms. Ghulam Bibi Bharwana,PTI,Profile
112,NA-116Jhang-III,Mr. Muhammad Ameer Sultan,PTI,Profile
113,NA-117Nankana Sahib-I,Ch Muhammad Barjees Tahir,PML-N,Profile
114,NA-119Sheikhupura-I,Mr. Rahat Aman Ullah Bhatti,PTI,Profile
